"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61915","Verify that the user can reset applied search on transactions","chromium","Mon Jul 14 14:53:47 GMT+01:00 2025","broken","Mon Jul 14 14:54:49 GMT+01:00 2025","","transaction.test.ts","",""
"","23164","Verify that if user selects ""Company"" then the label field name should be ""Company Name""","chromium","Mon Jul 14 14:54:18 GMT+01:00 2025","passed","Mon Jul 14 14:54:41 GMT+01:00 2025","","transaction.test.ts","",""
"","59908","Verify that if user selects ""Individual"" then the label field name should be ""Last Name""","chromium","Mon Jul 14 14:54:18 GMT+01:00 2025","broken","Mon Jul 14 14:55:18 GMT+01:00 2025","","transaction.test.ts","",""
"","30563","Verify that the Create Transaction module is displayed when the user clicks on the ""Create Transaction"" button.","chromium","Mon Jul 14 14:53:47 GMT+01:00 2025","passed","Mon Jul 14 14:54:18 GMT+01:00 2025","","transaction.test.ts","",""
"","37065","Verify that all form sections are displayed sequentially on the screen","chromium","Mon Jul 14 14:54:42 GMT+01:00 2025","passed","Mon Jul 14 14:55:19 GMT+01:00 2025","","transaction.test.ts","",""
"","32044","Verify that the user can expand and collapse the details by clicking on the collapse button.","chromium","Mon Jul 14 14:54:46 GMT+01:00 2025","passed","Mon Jul 14 14:55:18 GMT+01:00 2025","","transaction.test.ts","",""
"","34829","Verify that the ""Show All"" tab displays all fields on the form.","chromium","Mon Jul 14 14:54:43 GMT+01:00 2025","passed","Mon Jul 14 14:55:18 GMT+01:00 2025","","transaction.test.ts","",""
"","40426","Verify that the Show Required tab displays only mandatory fields on the form.","chromium","Mon Jul 14 14:54:38 GMT+01:00 2025","passed","Mon Jul 14 14:55:19 GMT+01:00 2025","","transaction.test.ts","",""
"","23349","Verify that all required fields must be filled before clicking the ""Create"" button","chromium","Mon Jul 14 14:54:23 GMT+01:00 2025","passed","Mon Jul 14 14:54:46 GMT+01:00 2025","","transaction.test.ts","",""
"","38115","Verify that the Transaction screen is displayed correctly with all expected content.","chromium","Mon Jul 14 14:53:47 GMT+01:00 2025","passed","Mon Jul 14 14:54:25 GMT+01:00 2025","","transaction.test.ts","",""
"","8329","Verify that the user can see the profile options by clicking on the users name","chromium","Mon Jul 14 13:56:09 GMT+01:00 2025","failed","Mon Jul 14 13:56:17 GMT+01:00 2025","","akshayaTest.test.ts","",""
"","30704","Verify that the user can click on the ""Create Transaction"" button to create a new transaction","chromium","Mon Jul 14 14:53:47 GMT+01:00 2025","passed","Mon Jul 14 14:54:18 GMT+01:00 2025","","transaction.test.ts","",""
"","53234","Verify that user can enter to any transaction by clicking on enter transaction icon","chromium","Mon Jul 14 14:53:47 GMT+01:00 2025","broken","Mon Jul 14 14:54:41 GMT+01:00 2025","","transaction.test.ts","",""
"","1","Verify the system's response when entering extremely long text (e.g., 10,000 characters) in the 'Company Name' or 'Last Name' field","chromium","Mon Jul 14 14:54:25 GMT+01:00 2025","skipped","Mon Jul 14 14:54:25 GMT+01:00 2025","","transaction.test.ts","",""
"","52996","Verify that the user can apply multiple filters to search for transactions","chromium","Mon Jul 14 14:53:48 GMT+01:00 2025","failed","Mon Jul 14 14:54:41 GMT+01:00 2025","","transaction.test.ts","",""
"","50586","Verify that the ""Branch"" dropdown is disabled until a ""Group"" is selected","chromium","Mon Jul 14 14:54:28 GMT+01:00 2025","broken","Mon Jul 14 14:55:18 GMT+01:00 2025","","transaction.test.ts","",""
"","24195","Verify that the user can select a group from the ""Group"" and ""Branch"" dropdown when creating a transaction.","chromium","Mon Jul 14 14:54:18 GMT+01:00 2025","passed","Mon Jul 14 14:54:42 GMT+01:00 2025","","transaction.test.ts","",""
"","80901","Verify that the ""Customer Type"" field allows switching between Individual and Company","chromium","Mon Jul 14 14:53:47 GMT+01:00 2025","broken","Mon Jul 14 14:55:08 GMT+01:00 2025","","transaction.test.ts","",""
"","37226","Verify that pagination works correctly for navigating through paged content","chromium","Mon Jul 14 14:53:47 GMT+01:00 2025","failed","Mon Jul 14 14:54:24 GMT+01:00 2025","","transaction.test.ts","",""
"","45959","Verify that Client details section is displayed as expected.","chromium","Mon Jul 14 14:54:53 GMT+01:00 2025","broken","Mon Jul 14 14:55:38 GMT+01:00 2025","","transaction.test.ts","",""
"","9308","Verify that error message should displayed for Invalid inputs","chromium","Mon Jul 14 13:56:09 GMT+01:00 2025","failed","Mon Jul 14 13:56:18 GMT+01:00 2025","","akshayaTest.test.ts","",""
"","50891","Verify that the user can view recent transactions by clicking on the ""Recent Transactions"" button","chromium","Mon Jul 14 14:53:47 GMT+01:00 2025","passed","Mon Jul 14 14:54:38 GMT+01:00 2025","","transaction.test.ts","",""
"","31131","Verify that the user can search for transactions using the transaction number in Quick access modal","chromium","Mon Jul 14 14:53:47 GMT+01:00 2025","passed","Mon Jul 14 14:54:18 GMT+01:00 2025","","transaction.test.ts","",""
"","36007","Verify that the user can minimize the search module","chromium","Mon Jul 14 14:53:47 GMT+01:00 2025","passed","Mon Jul 14 14:54:23 GMT+01:00 2025","","transaction.test.ts","",""
"","34959","Verify that the Hide Overview tab hides the overview section of transaction.","chromium","Mon Jul 14 14:54:44 GMT+01:00 2025","passed","Mon Jul 14 14:55:19 GMT+01:00 2025","","transaction.test.ts","",""
"","37365","Verify that the Show Overview tab displays the overview section of transaction.","chromium","Mon Jul 14 14:54:41 GMT+01:00 2025","passed","Mon Jul 14 14:55:18 GMT+01:00 2025","","transaction.test.ts","",""
"","53005","Verify that navbar options are displayed as expected at the top of the screeen.","chromium","Mon Jul 14 14:54:25 GMT+01:00 2025","broken","Mon Jul 14 14:55:18 GMT+01:00 2025","","transaction.test.ts","",""
